"Qty";"Value";"Device";"Package";"Parts";"Description";"AVAILABILITY";"DESCRIPTION";"DIGI-KEY_PART_NUMBER";"DIGI-KEY_PURCHASE_LINK";"DIGI-KEY_PURCHASE_URL";"MF";"MP";"PACKAGE";"POPULARITY";"PRICE";"PROD_ID";"PURCHASE_LINK";"SF_ID";"SF_SKU";"TP_SIGNAL_NAME";"VALUE";
"3";"";"CONN_02";"1X02";"J1, J2, J3";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"CONN_04";"1X04";"J4";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"CONN-09696";"";"";"";"";"";
"4";"0";"0OHM-0603-1/10W-5%";"0603";"R13, R14, R15, R16";"0Ω resistor";"";"";"";"";"";"";"";"";"";"";"RES-08609";"";"";"";"";"0";
"4";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"C3, C4, C5, C6";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"CAP-00810";"";"";"";"";"0.1uF";
"3";"1.0uF";"1.0UF-16V-10%(0603)";"0603-CAP";"C1, C2, C9";"CAP-00868";"";"";"";"";"";"";"";"";"";"";"CAP-00868";"";"";"";"";"1.0uF";
"1";"100k";"100KOHM-0603-1/10W-1%";"0603";"R7";"100kΩ resistor";"";"";"";"";"";"";"";"";"";"";"RES-07828";"";"";"";"";"100k";
"6";"10k";"10KOHM-0603-1/10W-1%";"0603";"R1, R2, R3, R4, R5, R12";"10kΩ resistor";"";"";"";"";"";"";"";"";"";"";"RES-00824";"";"";"";"";"10k";
"2";"10uF";"10UF-POLAR-EIA3528-20V-10%(TANT)";"EIA3528";"C7, C8";"10.0µF polarized capacitors";"";"";"";"";"";"";"";"";"";"";"CAP-08063";"";"";"";"";"10uF";
"1";"220";"220OHM-0603-1/10W-1%";"0603";"R6";"220Ω resistor";"";"";"";"";"";"";"";"";"";"";"RES-07861";"";"";"";"";"220";
"4";"4.7k";"4.7KOHM-0603-1/10W-1%";"0603";"R8, R9, R10, R11";"4.7kΩ resistor";"";"";"";"";"";"";"";"";"";"";"RES-07857";"";"";"";"";"4.7k";
"1";"APDS-9960";"APDS-9960";"APDS-9960";"U1";"Avago APDS-9960 Digital Proximity, Ambient Light, RGB, and Gesture Sensor.";"Unavailable";" Digital Ambient Light and Proximity Sensor 8-Pin SMD T/R ";"516-3480-1-ND";"https://www.digikey.in/product-detail/en/broadcom-limited/APDS-9960/516-3480-1-ND/6677150";"";"Broadcom Limited";"APDS-9960";"SMD-8 Broadcom";"";"None";"";"";"";"";"";"";
"1";"ARDUINO_UNO_R3_SHIELDBASIC";"ARDUINO_UNO_R3_SHIELDBASIC";"UNO_R3_SHIELD";"B1";"Arduino R3 Shield Footprint";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
