"Qty";"Value";"Device";"Package";"Parts";"Description";"AVAILABILITY";"DESCRIPTION";"LOADING";"MF";"MP";"PACKAGE";"POPULARITY";"PRICE";"PROD_ID";"SF_ID";"TP_SIGNAL_NAME";"VALUE";
"1";"";"CONN_12";"1X12";"J3";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"CONN_16";"1X16";"J5";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"";"MOMENTARY-SWITCH-SPST-2-SMD-4.6X2.8MM";"TACTILE_SWITCH_SMD_4.6X2.8MM";"S1, S2";"Momentary Switch (Pushbutton) - SPST - Two Circuits";"";"";"";"";"";"";"";"";"SWCH-13065";"";"";"";
"1";"";"QWIIC_CONNECTORJS-1MM";"1X04_1MM_RA";"J4";"SparkFun I2C Standard Qwiic Connector";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"TRANS_NPN_DUAL-MBT3904DW1T1";"SC70-6";"Q2";"Dual NPN Transistors in Single Package";"";"";"";"";"";"";"";"";"TRANS-13337";"";"";"";
"1";"";"USB_MICRO-B_HALF_PTH_MILL";"USB-MICROB-PTH-MILL";"J1";"USB Type Micro-B Connector";"";"";"";"";"";"";"";"";"CONN-13711";"";"";"";
"1";"";"V_REG_LM1117SOT223";"SOT223";"U2";"Voltage Regulator LM1117";"";"";"";"";"";"";"";"";"VREG-08170";"";"";"";
"7";"0";"0OHM-0603-1/10W-5%";"0603";"R3, R4, R6, R18, R19, R25, R26";"0Ω resistor";"";"";"";"";"";"";"";"";"RES-08609";"";"";"0";
"2";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"C2, C3";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"CAP-00810";"";"";"0.1uF";
"8";"0.1uF";"0.1UF-0603-25V-5%";"0603";"C5, C7, C9, C11, C16, C17, C18, C19";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"CAP-08604";"";"";"0.1uF";
"1";"0.3";"0.3OHM-0805-1/8W-1%";"0805";"R22";"0.3Ω resistor";"";"";"";"";"";"";"";"";"RES-11622";"";"";"0.3";
"2";"1.0uF";"1.0UF-0603-16V-10%";"0603";"C14, C15";"1µF ceramic capacitors";"";"";"";"";"";"";"";"";"CAP-00868";"";"";"1.0uF";
"1";"1.0uF";"1.0UF-0603-16V-10%";"0603";"C10";"1µF ceramic capacitors";"";"";"NO LOAD";"";"";"";"";"";"CAP-00868";"";"";"1.0uF";
"1";"100k";"100KOHM-0603-1/10W-1%";"0603";"R24";"100kΩ resistor";"";"";"";"";"";"";"";"";"RES-07828";"";"";"100k";
"9";"10k";"10KOHM-0603-1/10W-1%";"0603";"R8, R11, R12, R13, R14, R15, R17, R20, R21";"10kΩ resistor";"";"";"";"";"";"";"";"";"RES-00824";"";"";"10k";
"1";"10nF";"10NF-0603-50V-10%";"0603";"C4";"0.01uF/10nF/10,000pF ceramic capacitors";"";"";"";"";"";"";"";"";"CAP-00867";"";"";"10nF";
"3";"10uF";"10UF-1210-50V-20%";"1210";"C1, C6, C8";"10.0µF ceramic capacitors";"";"";"";"";"";"";"";"";"CAP-09824";"";"";"10uF";
"1";"150";"150OHM-0603-1/10W-1%";"0603";"R5";"150Ω resistor";"";"";"NO LOAD";"";"";"";"";"";"RES-11028";"";"";"150";
"1";"1A/40V/500mV";"DIODE-SCHOTTKY-SS14";"SMA-DIODE";"D1";"Schottky diode";"";"";"";"";"";"";"";"";"DIO-08053";"";"";"1A/40V/500mV";
"2";"1A/40V/500mV";"DIODE-SCHOTTKY-SS14";"SMA-DIODE";"D7, D8";"Schottky diode";"";"";"NO LOAD";"";"";"";"";"";"DIO-08053";"";"";"1A/40V/500mV";
"2";"1k";"1KOHM-0603-1/10W-1%";"0603";"R7, R9";"1kΩ resistor";"";"";"";"";"";"";"";"";"RES-07856";"";"";"1k";
"1";"2.0k";"2.0KOHM-0603-1/10W-5%";"0603";"R10";"2kΩ resistor";"";"";"";"";"";"";"";"";"RES-08296";"";"";"2.0k";
"1";"2.5A/30V/105mΩ";"MOSFET_PCH-DMG2307L";"SOT23-3";"Q1";"P-channel MOSFETs";"";"";"";"";"";"";"";"";"TRANS-11308";"";"";"2.5A/30V/105mΩ";
"1";"220mA/50V/3.5Ω";"MOSFET-NCH-BSS138";"SOT23-3";"Q3";"N-channel MOSFETs";"";"";"";"";"";"";"";"";"TRANS-00830";"";"";"220mA/50V/3.5Ω";
"1";"330";"330OHM-0603-1/10W-1%";"0603";"R23";"330Ω resistor";"";"";"";"";"";"";"";"";"RES-00818";"";"";"330";
"3";"4.7k";"4.7KOHM-0603-1/10W-1%";"0603";"R1, R2, R16";"4.7kΩ resistor";"";"";"";"";"";"";"";"";"RES-07857";"";"";"4.7k";
"2";"4.7uF";"4.7UF-1206-16V-(+80/-20%)";"1206";"C12, C13";"4.7µF ceramic capacitors";"";"";"";"";"";"";"";"";"CAP-10300";"";"";"4.7uF";
"1";"6V/0.5A";"PPTC_6V500MA-2";"1206";"PTC";"Resettable Fuse PPTC";"";"";"";"";"";"";"";"";"RES-08585";"";"";"6V/0.5A";
"1";"APDS-9960";"APDS-9960";"APDS-9960";"U5";"Avago APDS-9960 Digital Proximity, Ambient Light, RGB, and Gesture Sensor.";"";"";"";"";"";"";"";"";"SEN-12005";"";"";"";
"1";"BLUE";"LED-BLUE0603";"LED-0603";"D5";"Blue SMD LED";"";"";"";"";"";"";"";"";"DIO-08575";"";"";"BLUE";
"1";"BME280";"BME280";"LGA-8-2.5X2.5";"U6";"Bosch BME280 &ndash; Combined Humidity and Pressure Sensor";"";"";"";"";"";"";"";"";"IC-13090";"";"";"BME280";
"1";"CH340C";"CH340C";"SO016";"U1";"";"";"";"";"";"";"";"";"";"IC-14038";"";"";"";
